序號,醫療機構代碼,機構名稱,縣市別,評定等級,效期,機構電話,機構地址
1,1137010024,彰化基督教醫療財團法人彰化基督教醫院,彰化縣,重度級,101/12/28-105/12/31,04-7238595,彰化縣彰化市南校街135號
2,937010019,秀傳醫療社團法人秀傳紀念醫院,彰化縣,重度級,102/4/12-105/12/31,04-7256166,彰化縣彰化市南瑤里中山路1段542號
3,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,彰化縣,中度級,104/1/20-107/12/31,04-7813888,彰化縣鹿港鎮鹿工路6號、6-2號
4,137170515,衛生福利部彰化醫院,彰化縣,中度級（不含高危險妊娠孕產婦及新生兒照護品質）,101/12/28-105/12/31,04-8298686,彰化縣埔心鄉中正路二段80號
5,1137080017,彰化基督教醫療財團法人二林基督教醫院,彰化縣,中度級（不含高危險妊娠孕產婦及新生兒照護品質）,101/12/28-105/12/31,04-8960128,彰化縣二林鎮大成路一段558號
6,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,彰化縣,中度級（不含高危險妊娠孕產婦及新生兒照護品質）,104/1/20-107/12/31,04-7779595,彰化縣鹿港鎮中正路480號
7,1537040066,卓醫院,彰化縣,一般級,－,04- 8882517,彰化縣北斗鎮中山路一段311號
8,1537070028,仁和醫院,彰化縣,一般級,－,04-8742108,彰化縣田中鎮中州路一段157號
9,1537051247,彰化基督教醫療財團法人員林基督教醫院,彰化縣,一般級,－,04-8381456,彰化縣員林市莒光路456號
10,1537061065,道安醫院,彰化縣,一般級,－,04-8852309,彰化縣溪湖鎮彰水路三段362號
11,937050014,伍倫醫療社團法人員榮醫院,彰化縣,一般級,－,04-8326161,彰化縣員林市中正路201號
12,937030012,道周醫療社團法人道周醫院,彰化縣,一般級,－,04-7566995,彰化縣和美鎮和光路180號、和善路118號
